;ANO;;;;;;;;;;;;;;;;;;;;;;;;;
Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Janeiro; 35.794.009 ; 40.873.731 ; 44.701.019 ; 46.606.186 ; 45.176.780 ; 46.432.974 ; 52.339.784 ; 53.824.796 ;55054714,52; 58.562.286 ; 61.898.234 ; 65.790.548 ; 69.147.127 ; 63.661.263 ; 63.629.101 ; 76.553.315 ; 72.943.989 ; 83.283.397 ; 81.070.997 ; 81.558.704 ; 98.220.633 ; 89.063.446 ; 94.006.896 ; 101.505.870 ; 109.092.837 ; 106.908.036 
Fevereiro; 32.501.396 ; 37.557.965 ; 40.186.195 ; 43.224.391 ; 42.107.535 ; 41.792.056 ; 47.384.033 ; 49.231.395 ; 51.381.501 ; 53.423.103 ; 56.464.532 ; 57.739.944 ; 63.946.618 ; 56.484.375 ; 58.511.433 ; 68.077.998 ; 67.715.614 ; 74.914.013 ; 73.285.668 ; 69.703.872 ; 86.178.639 ; 78.929.838 ; 81.663.539 ; 91.323.663 ; 100.001.471 ; 97.666.753 
Março; 36.867.745 ; 39.067.394 ; 45.155.000 ; 46.879.152 ; 45.882.541 ; 47.688.720 ; 52.570.653 ; 54.842.114 ; 54.246.530 ; 60.238.593 ; 63.139.717 ; 64.543.166 ; 64.707.010 ; 57.432.045 ; 65.678.055 ; 74.807.971 ; 70.190.999 ; 79.048.971 ; 79.276.287 ; 79.362.961 ; 92.174.953 ; 88.173.934 ; 92.416.689 ; 96.576.113 ; 104.043.887 ; 112.245.122 
Abril; 34.837.416 ; 38.071.025 ; 44.078.493 ; 45.602.467 ; 43.472.198 ; 50.287.472 ; 52.117.984 ; 52.171.324 ; 53.924.027 ; 58.221.116 ; 62.315.672 ; 61.557.040 ; 60.645.940 ; 57.684.368 ; 64.384.448 ; 71.825.404 ; 68.704.166 ; 76.169.147 ; 77.901.834 ; 78.117.068 ; 88.750.929 ; 89.223.698 ; 89.973.219 ; 94.235.599 ; 95.832.568 ; 108.962.878 
Maio; 35.934.805 ; 37.238.990 ; 45.952.929 ; 46.118.339 ; 44.039.672 ; 52.360.679 ; 54.191.400 ; 53.502.031 ; 56.277.093 ; 60.612.092 ; 64.331.292 ; 64.220.156 ; 63.480.641 ; 61.792.537 ; 67.870.415 ; 74.774.907 ; 77.100.384 ; 82.251.505 ; 80.831.132 ; 84.660.048 ; 85.728.483 ; 90.884.267 ; 89.242.575 ; 99.240.052 ; 102.855.906 ; 114.051.268 
Junho; 36.257.689 ; 38.829.947 ; 45.077.504 ; 41.168.093 ; 44.447.747 ; 50.952.059 ; 48.913.005 ; 53.511.524 ; 54.896.201 ; 57.527.862 ; 61.542.430 ; 64.109.983 ; 60.983.892 ; 63.028.462 ; 67.365.017 ; 71.879.137 ; 76.753.717 ; 80.243.085 ; 77.695.352 ; 76.722.964 ; 90.394.377 ; 87.103.110 ; 84.856.492 ; 100.997.130 ; 102.349.964 ;
Julho; 36.802.876 ; 40.431.679 ; 45.064.784 ; 46.224.420 ; 46.915.429 ; 52.094.156 ; 53.480.761 ; 54.988.933 ; 56.569.190 ; 59.478.690 ; 63.726.280 ; 64.383.332 ; 62.720.558 ; 61.207.897 ; 70.285.802 ; 76.444.837 ; 80.088.522 ; 81.308.760 ; 79.829.003 ; 86.015.765 ; 95.427.453 ; 94.403.046 ; 91.838.308 ; 108.894.371 ; 100.204.714 ;
Agosto; 36.962.797 ; 39.864.973 ; 46.630.630 ; 47.772.193 ; 46.565.206 ; 50.400.788 ; 52.790.966 ; 54.511.169 ; 57.068.085 ; 60.769.026 ; 64.422.675 ; 63.613.481 ; 62.126.536 ; 62.341.106 ; 72.115.803 ; 78.953.395 ; 80.871.011 ; 79.857.976 ; 78.174.124 ; 92.672.337 ; 95.696.927 ; 92.917.576 ; 95.685.302 ; 107.323.458 ; 103.622.364 ;
Setembro; 38.971.890 ; 39.143.283 ; 44.567.717 ; 45.675.064 ; 45.694.541 ; 50.008.462 ; 51.989.037 ; 51.793.332 ; 55.714.305 ; 59.784.227 ; 59.929.949 ; 62.976.307 ; 57.710.406 ; 62.818.508 ; 70.754.819 ; 71.859.652 ; 80.141.552 ; 79.577.740 ; 74.571.715 ; 87.818.240 ; 87.213.651 ; 90.024.044 ; 94.435.422 ; 110.167.280 ; 104.174.498 ;
